Alpha,Beta,Gamma,b_pr,theta_pr
0.0,180,0.0,3.9,4.82
180.0,180,0.0,3.9,4.82
270.0,180,0.0,4.0,10.78
0.0,90,90.0,4.7,13.32
20.9,120,339.1,3.4,4.08
110.9,60,20.9,4.1,2.67
110.9,120,339.1,4.1,2.67
249.1,60,149.1,4.1,2.67
69.1,60,159.1,4.1,2.67
159.1,60,339.1,2.8,3.55
328.3,36,58.3,5.1,3.4
31.7,36,121.7,5.1,3.4
238.3,36,238.3,4.7,5.31
301.7,36,301.7,4.7,5.31
211.7,108,301.7,4.7,5.39
328.3,108,238.3,4.7,5.39
31.7,72,58.3,4.7,5.39
148.3,72,301.7,4.6,7.62
211.7,72,238.3,4.6,7.62
58.3,72,301.7,4.3,4.25
121.7,72,238.3,4.3,4.25
301.7,72,238.3,4.3,4.25
180.0,90,0.0,2.4,3.74
90.0,90,0.0,4.0,4.6
291.2940140779013,59,19.791466782010943,4.113136408173362,2.6732111296399967
22.09423498683239,60,18.996325101203876,4.112324145526172,2.6712333119640053
16.32171030059352,59,19.819143636941387,4.128441750096913,2.6837107532959226
68.70518511694056,119,197.66683187745076,4.091789197237631,2.660746360153549
36.48620915716696,79,200.9,3.2203749357742124,3.047749196141479
246.52292482789503,60,151.86955381566466,4.030493823158994,3.047749196141479
330.85377680184916,37,56.14820374918186,5.134550789567777,3.417974953735461
330.4751319397234,36,58.106532786901205,5.079965226320107,3.402407903548145
322.45711939370443,36,61.47700369158781,5.1,5.1
213.73984598404203,144,242.12490051133653,5.109831825310228,3.3940554487626113
137.42324422385914,137,312.5767557761408,4.809177653044362,2.991103789126853
337.9490967799808,120,24.12893674306397,2.827561983127647,3.5516115952188643
341.5486065626754,59,341.5558089412125,2.7831667181465902,3.551320577262447
267.7962045372638,180,0.0,3.993362608104274,10.768273487144372
269.1622463010492,179,1.9831020912110782,4.006762079737531,10.807145741045169
191.71364007752334,106,308.7278722180317,3.971400377953095,15.36
191.1773489280825,106,306.95477564260773,4.004758200645586,6.246620689655173
0.04117051079770918,89,89.89103312326075,4.678811640837119,13.236329971178145
171.1910477099105,7,2.6643574943975468,3.9254962439655268,3.4364218958611485
91.68548873107171,90,89.32933061077956,3.988796007063857,4.547291729417943
252.09882856496404,59,145.08826041581247,4.0982960994396915,2.6862833993948616
