Alpha,Beta,Gamma,b_pr,theta_pr
0.0,180,0.0,3.5,4.22
90.0,0,0.0,4.0,10.64
90.0,180,0.0,4.0,10.64
270.0,0,0.0,4.0,10.64
0.0,90,90.0,4.6,12.37
0.0,90,270.0,4.6,12.37
180.0,90,90.0,4.6,12.37
90.0,90,90.0,4.1,5.17
90.0,90,270.0,4.1,5.17
270.0,90,90.0,4.1,5.17
159.1,60,159.1,3.1,4.08
200.9,60,20.9,3.1,4.08
339.1,120,200.9,3.1,4.08
110.9,60,20.9,2.9,8.42
110.9,120,339.1,2.9,8.42
290.9,60,20.9,2.9,8.42
20.9,120,159.1,3.5,3.55
159.1,60,339.1,3.5,3.55
159.1,120,20.9,3.5,3.55
200.9,60,200.9,3.5,3.55
200.9,120,159.1,3.5,3.55
249.1,60,339.1,3.9,5.71
148.3,144,301.7,5.2,3.81
211.7,36,121.7,5.2,3.81
328.3,36,58.3,5.2,3.81
58.3,36,58.3,3.0,5.47
301.7,144,238.3,3.0,5.47
148.3,36,238.3,4.6,6.27
211.7,36,301.7,4.6,6.27
328.3,144,121.7,4.6,6.27
31.7,144,58.3,4.6,6.27
58.3,36,238.3,4.0,5.14
58.3,144,121.7,4.0,5.14
121.7,36,301.7,4.0,5.14
121.7,144,58.3,4.0,5.14
238.3,36,238.3,4.0,5.14
238.3,144,121.7,4.0,5.14
301.7,36,301.7,4.0,5.14
301.7,144,58.3,4.0,5.14
211.7,72,58.3,4.6,5.18
328.3,72,121.7,4.6,5.18
31.7,72,58.3,4.6,5.18
58.3,72,121.7,4.8,5.52
121.7,108,301.7,4.8,5.52
238.3,72,121.7,4.8,5.52
238.3,108,238.3,4.8,5.52
301.7,72,58.3,4.8,5.52
211.7,72,238.3,4.4,6.95
31.7,108,121.7,4.4,6.95
58.3,72,301.7,5.2,3.37
58.3,108,58.3,5.2,3.37
121.7,72,238.3,5.2,3.37
121.7,108,121.7,5.2,3.37
238.3,72,301.7,5.2,3.37
301.7,72,238.3,5.2,3.37
180.0,90,0.0,4.6,3.27
0.0,90,0.0,4.6,3.27
0.0,90,180.0,4.6,3.27
90.0,90,0.0,3.6,1.62
90.0,90,180.0,3.6,1.62
270.0,90,0.0,3.6,1.62
270.0,90,180.0,3.6,1.62
267.1650364931899,89,180.60862522410247,3.587136094418602,1.6057955040178176
269.09386191286535,89,181.7050235377133,3.604983859894462,1.6353975198112296
269.50034880228714,89,181.90930479792414,3.604955273837023,1.6336409597339512
44.15803985298736,109,166.13463144612786,3.5336585236656837,2.5935973780178183
34.30922245363537,114,163.155756140101,3.5194055317708184,2.599000225513042
112.56362490552664,90,0.0,3.8507069433947403,2.449344738437969
102.30659984173188,95,3.722256681507907,3.5821901594186225,2.5877672614890868
88.00211861971452,89,4.036111456434049,3.5921097842834167,1.6344883054918
266.9985163546653,89,0.0,3.6067151669713566,1.6318356819056947
268.80676113700576,90,0.0,3.6107203035466866,1.6078067293087275
269.9997963202357,90,0.6307443454587751,3.6004703554042754,1.605256837145726
0.9368254450194011,89,179.726769164748,4.601645970469525,3.266582932241654
0.0,89,177.88778724935779,4.5793522568398455,3.251933950648383
0.0,89,182.85284316596722,4.607068886244353,3.2519002236025263
1.9734137653872006,89,0.0,4.616491087293328,3.277745923392684
0.4806695272593597,90,1.3127991462623538,4.621239761270452,3.257847566608742
179.68309540815721,89,176.7852606387551,4.592357956560247,3.262791902521413
197.32481631109687,65,197.32481631109687,3.688167562573849,3.4100940995727114
180.91927568854942,89,179.2211201999373,4.605561917202737,3.2714954641500587
179.5693036571821,90,0.0,4.588211383693894,3.2752018916778343
58.007434476113325,70,302.78253999157374,5.214570228480362,3.344831361368496
57.20641607135724,70,302.91123466371164,5.214104351551845,3.3874452736029608
57.70183760867498,108,58.91239977312078,5.208276464191121,3.3539927932225235
123.63730457414269,71,235.0731981885827,5.19338644047087,3.3856147977292657
239.5891610735021,72,301.050298487348,5.185157742270708,3.383179114490175
238.5336649330536,72,302.5725765653858,5.2145765327872065,3.381133737305516
234.16528719323165,71,302.78926961282275,5.196085301821429,3.3853191705066035
197.7768935384036,95,17.7768935384036,4.782952592161958,3.3200106392033364
236.05419122882446,108,60.58834638699534,5.215050818136445,3.367337525975577
305.64911990545784,107,122.45378349851508,5.205278606449866,3.3754569822686293
122.23005406474753,107,121.82772092909562,5.201402001359222,3.38177696027207
22.317312490777397,120,155.74744610877866,3.531585562962342,3.5538899689492136
4.748011084989859,96,175.25198891501014,4.350104679737376,3.4384057971014492
201.06708459800873,120,160.13804177334387,3.499125445336043,3.509177787644997
203.02375287173246,59,198.59447014771743,3.5022449735008103,3.557123511147743
200.93499975385637,59,198.1566223447116,3.530925052088264,3.5537905781414647
22.292897763964284,59,204.30636582325394,3.4934814683781856,3.5542165236033534
18.485429207570114,60,198.86294577585642,3.5165244163417833,3.5399496582228394
340.90300344954704,120,21.047425060176707,3.5065200167608226,3.564286307891392
336.3906568962589,58,340.3772407065775,3.5016484609796406,3.5377270855739815
338.2903525006009,60,338.1420254146226,3.4910834433136846,3.5604636313581883
322.4478867378748,112,217.55211326212526,3.3409857201465303,4.560778378378378
270.3328621456376,89,270.124300553931,4.116811229348491,5.117920007168453
225.45347950420413,109,314.5465204957959,3.455332554330016,4.560778378378378
0.0,140,0.0,3.965677802378248,3.7017372030421742
1.2346978438058138,179,3.116322274261689,3.4991317157286246,4.196374670941759
269.9998056943489,90,4.743855524429691,3.6234605990889293,5.972628418572863
270.158400287679,89,86.51682327271752,4.094312436938382,5.089247878693688
269.99989031720105,90,41.874109176093135,3.8310002308618616,2.4498489275100823
182.18578975306696,88,179.36871090800562,4.592247629245665,3.231209707668719
179.2635461317095,88,176.1443763568861,4.597820315946107,3.3164727155374387
179.67537103725775,88,171.61561264320082,4.594521187993774,3.2839982888017762
0.08857192222048171,89,0.2419066266522929,4.5925994912700325,4.906271436942355
0.629077273904926,90,1.9626227527275852,4.618281830402097,3.2294874834224023
0.0,89,3.006370217300737,4.619786407291184,3.2189402830888105
1.4880917589730407,88,1.3071620930030772,4.618099831153784,3.244901400148803
0.08683553633451258,89,0.0,4.6346781251377775,3.271590753628803
0.0,89,1.3924486726181675,4.583675399016367,3.309892672274075
0.0,88,0.0,4.608390324233925,3.2151402595728955
0.0,89,0.0,4.573535770374221,3.3210605697732594
72.04700507073068,180,0.0,3.900261139281837,12.75
43.68003342986802,180,0.0,3.7426668523881554,6.0431763122476445
91.63815310385077,179,0.0,3.9906005892973226,10.622417498853437
92.33460774772188,90,273.6583562006389,4.097709124489717,5.273508987778547
94.41764940855265,96,284.6057212502865,3.846355057882145,6.406387049300957
102.7451203290842,71,227.86182704594648,3.9780371260374716,5.4265992647058825
89.84754123362072,0,1.500838526422326,3.984910216497221,10.581092290740441
